ID, r1 , mr1 , r2 , r3 , built_date ,built_year, Latitude , Longitude ,count_date,veh_vol,ped_vol
2, JARVIS ST ,, FRONT ST E ,, 11/15/1948 ,1948 ,43.649418,-79.371446,9-8-2011,19335,17008
3, KING ST E ,, JARVIS ST ,, 08/23/1950 ,1950 ,43.6504606,-79.3719239,9-7-2011,17665,37719
4, JARVIS ST ,, ADELAIDE ST E ,, 09/12/1958 ,1958 ,43.6515337,-79.37236,8-15-2012,19037,5679
5, JARVIS ST ,, RICHMOND ST E ,, 04/21/1962 ,1962 ,43.6527176,-79.372824,12-8-2015,19678,4369
6, JARVIS ST ,, QUEEN ST E ,, 08/24/1928 ,1928 ,43.653704,-79.373238,5-18-2011,19772,3622
7, JARVIS ST ,, SHUTER ST ,, 11/18/1948 ,1948 ,43.655357,-79.373862,5-24-2011,17492,1979
8, JARVIS ST ,, DUNDAS ST E ,, 06/21/1928 ,1928 ,43.657052,-79.374531,4-13-2015,18207,7458
9, JARVIS ST ,, GERRARD ST E ,, 07/14/1941 ,1941 ,43.660432,-79.3758537,5-18-2011,19891,4284
10, JARVIS ST ,, CARLTON ST ,, 06/28/1928 ,1928 ,43.66242,-79.3767079,5-24-2011,21040,4189
11, JARVIS ST ,, WELLESLEY ST E ,, 09/28/1948 ,1948 ,43.6662894,-79.378325,5-24-2011,21072,5001
12, JARVIS ST ,, ISABELLA ST ,, 09/13/1960 ,1960 ,43.668869,-79.3794158,5-18-2011,15958,1679
13, MOUNT PLEASANT RD ,, CHARLES ST E , JARVIS ST , 05/23/1950 ,1950 ,43.6699892,-79.3799226,10-8-2013,15228,2269
14, BLOOR ST E ,, TED ROGERS WAY ,, 03/28/1951 ,1951 ,43.6715773,-79.38052,11-10-2015,17271,8538
15, CHURCH ST ,, FRONT ST E , WELLINGTON ST E , 04/24/1950 ,1950 ,43.648513176,-79.373833537,4-20-2015,10467,7381
16, KING ST E ,, CHURCH ST ,, 01/10/1928 ,1928 ,43.6499164,-79.374409,4-23-2009,13419,11277
17, CHURCH ST ,, ADELAIDE ST E ,, 11/22/1948 ,1948 ,43.651173,-79.374925,7-27-2011,12868,5765
18, CHURCH ST ,, RICHMOND ST E ,, 11/22/1948 ,1948 ,43.652441,-79.375448,11-19-2007,18354,4569
19, QUEEN ST E ,, CHURCH ST ,, 08/24/1983 ,1983 ,43.65317,-79.375754,8-16-2011,12609,13157
20, CHURCH ST ,, SHUTER ST ,, 11/18/1948 ,1948 ,43.654817,-79.376441,11-16-2009,6523,7480
21, DUNDAS ST E ,, CHURCH ST ,, 12/17/1952 ,1952 ,43.656499,-79.377127,4-13-2015,13764,10302
22, CHURCH ST ,, GERRARD ST E ,, 07/18/1941 ,1941 ,43.659858,-79.378522,9-5-2012,17164,14490
23, CHURCH ST ,, CARLTON ST ,, 02/17/1932 ,1932 ,43.661871,-79.379335,6-26-2013,19901,9052
24, CHURCH ST ,, WELLESLEY ST E ,, 07/18/1941 ,1941 ,43.6657034,-79.380928,8-16-2011,18222,20851
25, BLOOR ST E ,, CHURCH ST ,, 02/19/1932 ,1932 ,43.6710224,-79.383123,11-10-2015,19486,32263
26, ADELAIDE ST E ,, VICTORIA ST ,, 09/27/1928 ,1928 ,43.6506539,-79.377248,7-19-2011,9447,10555
27, VICTORIA ST ,, RICHMOND ST E ,, 11/03/1927 ,1927 ,43.6519522,-79.377756,7-10-2012,12770,6969
28, QUEEN ST E ,, VICTORIA ST ,, 11/03/1927 ,1927 ,43.6526703,-79.378066,7-23-2009,10480,11810
29, YONGE ST ,, FRONT ST ,, 08/24/1928 ,1928 ,43.646846,-79.376931,5-6-2014,10737,17522
30, YONGE ST ,, WELLINGTON ST ,, 01/06/1964 ,1964 ,43.6478484,-79.377351,5-6-2014,13620,26656
31, YONGE ST ,, KING ST ,, 11/03/1927 ,1927 ,43.6491624,-79.377904,1-22-2015,13527,33938
32, YONGE ST ,, ADELAIDE ST ,, 01/10/1928 ,1928 ,43.650419,-79.378436,8-13-2012,11784,25543
33, YONGE ST ,, RICHMOND ST ,, 11/03/1927 ,1927 ,43.651697,-79.378965,5-6-2014,12388,24487
34, YONGE ST ,, QUEEN ST ,, 11/03/1927 ,1927 ,43.6524209,-79.379276,5-5-2014,12035,26437
35, YONGE ST ,, SHUTER ST ,, 03/12/1959 ,1959 ,43.654066,-79.379957,5-10-2014,7830,21137
36, YONGE ST ,, DUNDAS ST ,, 04/04/1927 ,1927 ,43.656326,-79.380912,4-11-2015,10925,34615
37, YONGE ST ,, GERRARD ST ,, 07/09/1929 ,1929 ,43.6590897,-79.382096,5-6-2014,12559,24440
38, YONGE ST ,, CARLTON ST , COLLEGE ST , 02/18/1932 ,1932 ,43.6613687,-79.383094,5-5-2014,13438,32030
39, YONGE ST ,, WELLESLEY ST ,, 09/30/1948 ,1948 ,43.6649351,-79.384558,8-9-2012,14459,16557
40, BLOOR ST ,, YONGE ST ,, 08/28/1925 ,1925 ,43.670229,-79.386767,12-3-2011,12018,40230
41, YONGE ST ,, CHURCH ST , DAVENPORT RD , 12/03/1932 ,1932 ,43.672879,-79.387845,3-28-2011,19019,9898
42, YONGE ST ,, AYLMER AVE , BELMONT ST , 11/19/1963 ,1963 ,43.6756028,-79.38895,5-6-2014,17579,5730
43, YONGE ST ,, CRESCENT RD ,, 10/16/1957 ,1957 ,43.6769762,-79.389534,5-6-2014,13112,3335
44, YONGE ST ,, MACPHERSON AVE , ROWANWOOD AVE , 04/10/1948 ,1948 ,43.6791392,-79.390424,4-25-2012,15632,4127
45, YONGE ST ,, SHAFTESBURY AVE , ALCORN AVE , 12/05/1955 ,1955 ,43.6820226,-79.391574,5-6-2014,14363,6199
46, YONGE ST ,, ST CLAIR AVE ,, 04/05/1927 ,1927 ,43.688075,-79.394098,5-3-2014,20437,10303
47, YONGE ST ,, CHAPLIN CRES , DAVISVILLE AVE , 06/14/1930 ,1930 ,43.6982977,-79.396601,5-3-2014,20155,9566
48, YONGE ST ,, MANOR RD ,, 12/11/1956 ,1956 ,43.702508,-79.397458,8-19-2009,14040,3776
49, YONGE ST ,, EGLINTON AVE ,, 08/21/1929 ,1929 ,43.7067501,-79.398311,5-3-2014,23360,20902
50, YONGE ST ,, BROADWAY AVE , MONTGOMERY AVE , 02/12/1957 ,1957 ,43.709554,-79.398943,5-3-2014,16937,14176
51, YONGE ST ,, CASTLEFIELD AVE ,, 08/21/1929 ,1929 ,43.7118551,-79.399437,7-10-2012,15456,3080
52, YONGE ST ,, BLYTHWOOD RD , LYTTON BLVD , 08/12/1954 ,1954 ,43.716605,-79.400452,4-23-2012,19891,1438
53, YONGE ST ,, GLENGROVE AVE ,, 07/06/1961 ,1961 ,43.7195544,-79.40109,8-19-2009,14632,1311
54, YONGE ST ,, CHATSWORTH DR , ST EDMUNDS DR , 07/17/1930 ,1930 ,43.721971,-79.401557,4-27-2011,18003,1409
55, YONGE ST ,, LAWRENCE AVE ,, 01/03/1941 ,1941 ,43.7251031,-79.402193,10-3-2013,29417,4196
56, YONGE ST ,, RANLEIGH AVE ,, 08/24/1929 ,1929 ,43.7278642,-79.40293,6-27-2011,18308,5040
57, YONGE ST ,, FAIRLAWN AVE ,, 08/29/1956 ,1956 ,43.730913,-79.403788,5-6-2014,19161,3893
58, YONGE ST ,, YONGE BLVD , PRIVATE ACCESS , 10/12/1955 ,1955 ,43.7343677,-79.404585,5-5-2014,24567,2215
59, BAY ST ,, FRONT ST W ,, 09/18/1928 ,1928 ,43.645996,-79.379115,4-22-2009,18965,17115
60, BAY ST ,, WELLINGTON ST W ,, 09/28/1928 ,1928 ,43.647345,-79.379702,8-12-2009,16188,32319
61, BAY ST ,, KING ST W ,, 11/03/1927 ,1927 ,43.648653,-79.380268,4-23-2009,21640,22398
62, BAY ST ,, ADELAIDE ST W ,, 09/26/1928 ,1928 ,43.649876,-79.380823,7-29-2010,18630,27086
63, BAY ST ,, RICHMOND ST W ,, 12/30/1930 ,1930 ,43.6512244,-79.381452,7-29-2010,16177,11704
64, BAY ST ,, QUEEN ST W ,, 11/03/1927 ,1927 ,43.65189,-79.381698,8-31-2011,19155,38815
65, BAY ST ,, ALBERT ST ,, 11/22/1948 ,1948 ,43.6529652,-79.382631,8-13-2009,10085,6861
66, DUNDAS ST W ,, BAY ST ,, 06/28/1928 ,1928 ,43.655721,-79.383734,4-13-2015,16598,31918
67, BAY ST ,, GERRARD ST W ,, 04/07/1941 ,1941 ,43.658496,-79.384865,7-23-2009,19660,12211
68, BAY ST ,, COLLEGE ST ,, 01/28/1928 ,1928 ,43.6608138,-79.385857,7-19-2011,17491,24779
69, BAY ST ,, WELLESLEY ST W ,, 12/30/1930 ,1930 ,43.664366,-79.387151,6-18-2012,17332,8328
70, BAY ST ,, BLOOR ST W ,, 07/21/1928 ,1928 ,43.669701,-79.389468,4-19-2016,20382,36608
71, YORK ST ,, WELLINGTON ST W ,, 06/22/1928 ,1928 ,43.6466383,-79.383007,4-18-2015,6498,6101
72, KING ST W ,, YORK ST ,, 11/03/1927 ,1927 ,43.6479338,-79.383531,4-23-2009,12501,14673
73, YORK ST ,, ADELAIDE ST W ,, 11/06/1928 ,1928 ,43.649196,-79.384074,7-27-2010,14130,9142
74, YORK ST ,, RICHMOND ST W ,, 11/06/1928 ,1928 ,43.6505005,-79.38462,7-10-2012,13473,12639
75, UNIVERSITY AVE ,, YORK ST , FRONT ST W , 06/14/1928 ,1928 ,43.645291,-79.382476,4-20-2015,15386,19707
76, UNIVERSITY AVE ,, WELLINGTON ST W ,, 02/17/1932 ,1932 ,43.6464054,-79.384076,4-20-2015,18390,18152
77, UNIVERSITY AVE ,, KING ST W ,, 02/15/1932 ,1932 ,43.6476553,-79.384788,1-22-2015,19291,17345
78, UNIVERSITY AVE ,, ADELAIDE ST W ,, 12/02/1932 ,1932 ,43.648857,-79.38548,7-31-2012,23606,9272
79, UNIVERSITY AVE ,, RICHMOND ST W ,, 02/15/1932 ,1932 ,43.6501396,-79.38624,8-13-2009,30347,13600
80, UNIVERSITY AVE ,, QUEEN ST W ,, 05/15/1932 ,1932 ,43.650827,-79.386628,8-11-2009,30573,17063
81, UNIVERSITY AVE ,, DUNDAS ST W ,, 06/28/1928 ,1928 ,43.654812,-79.388484,4-11-2015,21879,12603
82, UNIVERSITY AVE ,, ELM ST ,, 06/17/1958 ,1958 ,43.656323,-79.388959,11-19-2009,28813,9490
83, UNIVERSITY AVE ,, COLLEGE ST ,, 06/28/1928 ,1928 ,43.6598474,-79.39049,11-23-2009,31585,10770
84, QUEENS PARK CRES E ,, WELLESLEY ST W ,, 07/26/1950 ,1950 ,43.6636098,-79.390626,8-7-2008,17081,3817
85, QUEENS PARK CRES E , 125m NORTH OF , ST JOSEPH ST ,, 11/24/1947 ,1947 ,43.6659353,-79.391879,12-8-2009,12427,1217
86, AVENUE RD ,, BLOOR ST W ,, 07/21/1928 ,1928 ,43.668685,-79.394119,5-27-2013,26039,14160
87, EGLINTON AVE E ,, BRENTCLIFFE RD ,, 07/04/1966 ,1966 ,43.7145838,-79.359791,3-16-2011,26029,1107
88, EGLINTON AVE E ,, LAIRD DR ,, 01/31/1958 ,1958 ,43.713573,-79.364752,2-24-2010,25254,1347
89, EGLINTON AVE E ,, RUMSEY RD ,, 12/29/1958 ,1958 ,43.7125627,-79.369606,3-21-2012,18995,716
90, EGLINTON AVE E ,, BAYVIEW AVE ,, 03/21/1960 ,1960 ,43.711056,-79.377114,3-29-2012,30378,2880
91, EGLINTON AVE E ,, BANFF RD ,, 08/10/1953 ,1953 ,43.7100093,-79.382221,7-28-2010,16885,841
92, MOUNT PLEASANT RD ,, EGLINTON AVE E ,, 06/29/1939 ,1939 ,43.7084166,-79.390153,10-30-2012,27384,7399
93, EGLINTON AVE E ,, REDPATH AVE ,, 05/30/1961 ,1961 ,43.7078669,-79.39279,8-25-2009,14372,6034
94, EGLINTON AVE W ,, DUPLEX AVE ,, 10/04/1953 ,1953 ,43.7063458,-79.400252,10-29-2012,15743,1967
95, EGLINTON AVE W ,, ORIOLE PKWY ,, 12/24/1954 ,1954 ,43.7051068,-79.406125,10-29-2012,13295,488
96, AVENUE RD ,, EGLINTON AVE W ,, 01/08/1937 ,1937 ,43.7046104,-79.408474,10-15-2012,26329,3717
97, EGLINTON AVE W ,, HEDDINGTON AVE ,, 12/20/1952 ,1952 ,43.7034761,-79.41388,4-18-2011,14096,2607
98, EGLINTON AVE W ,, CHAPLIN CRES ,, 01/01/1967 ,1967 ,43.7027131,-79.417444,10-15-2012,19751,1037
99, EGLINTON AVE W ,, SPADINA RD ,, 08/09/1976 ,1976 ,43.7023611,-79.419081,10-29-2012,20620,416
100, BATHURST ST ,, EGLINTON AVE W ,, 01/01/1967 ,1967 ,43.7009757,-79.425534,4-11-2015,20547,2504
101, EGLINTON AVE W ,, GLEN CEDAR RD , OLD PARK RD , 07/10/1968 ,1968 ,43.6998248,-79.430961,7-9-2013,15770,783
102, EGLINTON AVE W ,, MARLEE AVE ,, 02/12/1959 ,1959 ,43.698048,-79.439379,10-30-2012,17430,1355
103, EGLINTON AVE W ,, OAKWOOD AVE ,, 01/31/1958 ,1958 ,43.6972932,-79.442789,10-29-2012,17171,3006
104, EGLINTON AVE W ,, NORTHCLIFFE BLVD ,, 01/31/1958 ,1958 ,43.696242,-79.447688,10-29-2012,10866,1897
105, DUFFERIN ST ,, EGLINTON AVE W ,, 11/13/1963 ,1963 ,43.695684,-79.450293,4-18-2016,22212,8427
106, EGLINTON AVE W ,, ENNERDALE RD ,, 01/31/1958 ,1958 ,43.694985,-79.453476,3-21-2012,9802,3069
107, AVENUE RD , 30m NORTH OF , ELGIN AVE ,, 12/09/1989 ,1989 ,43.672136,-79.395624,8-5-2010,14619,2454
108, AVENUE RD ,, DAVENPORT RD ,, 11/03/1932 ,1932 ,43.674705,-79.396651,4-2-2012,32938,4095
109, AVENUE RD ,, DUPONT ST ,, 07/25/1950 ,1950 ,43.67719,-79.397579,8-4-2010,16518,642
110, AVENUE RD ,, COTTINGHAM ST ,, 11/19/1948 ,1948 ,43.6795475,-79.39855,1-24-2012,18929,662
111, AVENUE RD ,, BALMORAL AVE ,, 03/02/1953 ,1953 ,43.6843241,-79.400495,11-2-2015,23332,1605
112, ST CLAIR AVE W ,, AVENUE RD ,, 08/26/1929 ,1929 ,43.686624,-79.401479,4-18-2016,29303,4696
113, AVENUE RD ,, LONSDALE RD , ORIOLE PKWY , 01/17/1964 ,1964 ,43.690773,-79.403027,4-16-2016,19162,807
114, ORIOLE PKWY ,, GORMLEY AVE ,, 01/28/1957 ,1957 ,43.6937297,-79.401852,4-13-2016,19054,195
115, ORIOLE PKWY ,, CHAPLIN CRES ,, 07/28/1950 ,1950 ,43.6978798,-79.403231,4-18-2016,14555,716
116, AVENUE RD ,, CHAPLIN CRES ,, 09/12/1948 ,1948 ,43.698761,-79.406076,4-11-2012,19127,601
117, AVENUE RD ,, ST CLEMENTS AVE ,, 06/20/1946 ,1946 ,43.710333,-79.411119,1-15-2013,18012,970
118, AVENUE RD ,, GLENGROVE AVE W ,, 09/24/1948 ,1948 ,43.71696,-79.413444,1-18-2010,21529,1030
119, AVENUE RD ,, LAWRENCE AVE W ,, 01/31/1958 ,1958 ,43.7222401,-79.415589,9-4-2013,27712,2674
120, AVENUE RD ,, FAIRLAWN AVE ,, 01/31/1958 ,1958 ,43.7279,-79.417894,1-23-2012,20920,1089
121, AVENUE RD ,, BROOKE AVE ,, 01/31/1958 ,1958 ,43.7332,-79.41951,1-19-2010,22365,1366
122, AVENUE RD ,, DUNBLAINE AVE ,, 07/18/1957 ,1957 ,43.7359103,-79.4201,12-14-2010,16556,638
123, AVENUE RD ,, WILSON AVE ,, 01/31/1958 ,1958 ,43.7398627,-79.421636,9-4-2013,33867,1383
124, YONGE ST ,, YORK MILLS RD , WILSON AVE , 01/31/1958 ,1958 ,43.744121,-79.406724,5-26-2010,38102,1068
125, YONGE ST ,, SHEPPARD AVE ,, 01/31/1958 ,1958 ,43.7615144,-79.410903,5-18-2016,38219,12257
126, YONGE ST ,, EMPRESS AVE , PARK HOME AVE , 01/29/1959 ,1959 ,43.7692945,-79.412931,5-18-2016,21274,11387
127, YONGE ST ,, CHURCH AVE , CHURCHILL AVE , 07/27/1960 ,1960 ,43.773798,-79.414034,5-18-2016,20746,5164
128, YONGE ST ,, FINCH AVE ,, 01/31/1958 ,1958 ,43.77979,-79.41556,5-7-2014,29978,13027
129, YONGE ST ,, CUMMER AVE , DREWRY AVE , 01/31/1958 ,1958 ,43.7870804,-79.417327,6-7-2012,28980,3086
130, YONGE ST ,, MADAWASKA AVE , MOORE PARK AVE , 01/31/1958 ,1958 ,43.7938145,-79.418991,5-7-2014,25570,1461
131, YONGE ST ,, STEELES AVE ,, 01/31/1958 ,1958 ,43.798049,-79.420064,10-8-2013,42005,6483
132, MOUNT PLEASANT RD ,, ELM AVE ,, 02/06/1950 ,1950 ,43.6745775,-79.380161,11-19-2013,15065,805
133, MOUNT PLEASANT RD ,, INGLEWOOD DR ,, 05/19/1950 ,1950 ,43.6883196,-79.383542,6-30-2011,20190,913
134, MOUNT PLEASANT RD ,, ST CLAIR AVE E ,, 05/23/1950 ,1950 ,43.690374,-79.383288,6-1-2015,24433,582
135, MOUNT PLEASANT RD ,, MOORE AVE ,, 02/15/1957 ,1957 ,43.6936038,-79.3846212,6-30-2016,20630,542
136, MOUNT PLEASANT RD ,, MERTON ST ,, 09/12/1948 ,1948 ,43.6982046,-79.386448,1-20-2010,22227,1327
137, MOUNT PLEASANT RD ,, DAVISVILLE AVE ,, 09/28/1948 ,1948 ,43.7003222,-79.386937,2-28-2013,23028,2205
138, MOUNT PLEASANT RD ,, MANOR RD E ,, 02/17/1957 ,1957 ,43.7043099,-79.388524,3-4-2013,16260,1698
139, MOUNT PLEASANT RD ,, BROADWAY AVE ,, 02/16/1953 ,1953 ,43.711129,-79.391181,11-25-2009,21405,3167
140, MOUNT PLEASANT RD ,, BLYTHWOOD RD ,, 08/22/1948 ,1948 ,43.7178824,-79.394131,11-10-2011,18969,331
141, MOUNT PLEASANT RD ,, ST LEONARDS AVE ,, 08/14/1966 ,1966 ,43.7223099,-79.395694,8-16-2011,11801,470
142, MOUNT PLEASANT RD ,, LAWRENCE AVE E ,, 02/23/1953 ,1953 ,43.726237038,-79.396790564,6-7-2013,22337,200
143, KINGSTON RD ,, MORNINGSIDE AVE ,, 03/23/1962 ,1962 ,43.770604,-79.186884,2-27-2016,25440,2070
144, KINGSTON RD ,, LAWRENCE AVE E ,, 01/21/1960 ,1960 ,43.7676558,-79.189555,4-20-2016,32159,2590
145, KINGSTON RD ,, GALLOWAY RD ,, 01/31/1958 ,1958 ,43.7621101,-79.1947327,10-22-2014,23952,850
146, KINGSTON RD ,, GUILDWOOD PKWY , CROMWELL RD , 12/11/1962 ,1962 ,43.749649,-79.205992,3-25-2010,24763,258
147, KINGSTON RD ,, EGLINTON AVE E ,, 05/04/1956 ,1956 ,43.7437557,-79.211651,10-22-2014,26434,306
148, KINGSTON RD ,, MARKHAM RD ,, 10/31/1960 ,1960 ,43.738817,-79.217042,10-22-2014,21905,652
149, KINGSTON RD ,, MCCOWAN RD , CATHEDRAL BLUFFS DR , 12/02/1964 ,1964 ,43.725113,-79.232452,10-15-2009,29118,1137
150, KINGSTON RD ,, ST CLAIR AVE E , BROOKLAWN AVE , 01/12/1958 ,1958 ,43.721858,-79.236215,6-10-2010,25234,1213
151, KINGSTON RD ,, MIDLAND AVE ,, 01/01/1957 ,1957 ,43.711111,-79.248196,6-24-2010,21013,1644
152, KINGSTON RD ,, SANDOWN AVE ,, 01/21/1963 ,1963 ,43.7087694,-79.249759,12-3-2009,22525,701
153, KINGSTON RD ,, CLAREMORE AVE , CLIFFSIDE DR , 01/31/1958 ,1958 ,43.703931,-79.252775,12-7-2009,20066,394
154, KINGSTON RD ,, BIRCHMOUNT RD ,, 06/23/1961 ,1961 ,43.6930141,-79.262326,11-11-2015,10732,202
155, KINGSTON RD ,, BIRCHCLIFF AVE ,, 01/31/1958 ,1958 ,43.691469,-79.264762,11-11-2015,10312,559
156, KINGSTON RD ,, WARDEN AVE ,, 01/31/1958 ,1958 ,43.6877698,-79.270928,5-6-2015,12693,977
157, KINGSTON RD ,, FALLINGBROOK RD ,, 01/31/1958 ,1958 ,43.6822709,-79.279219,11-11-2015,12928,895
158, KINGSTON RD ,, VICTORIA PARK AVE ,, 12/15/1948 ,1948 ,43.6808074,-79.284041,10-3-2013,9687,1980
159, KINGSTON RD ,, BEECH AVE ,, 05/03/1953 ,1953 ,43.6802604,-79.2907,4-14-2009,15084,1391
160, KINGSTON RD ,, MAIN ST , SOUTHWOOD DR , 12/15/1948 ,1948 ,43.678903,-79.29801,7-7-2016,16269,2115
161, KINGSTON RD ,, WAVERLEY RD , BROOKSIDE DR , 03/01/1957 ,1957 ,43.67695,-79.304104,11-11-2015,12652,778
162, KINGSTON RD ,, WOODBINE AVE ,, 06/09/1929 ,1929 ,43.67394,-79.307902,10-24-2015,18038,574
163, KINGSTON RD ,, DUNDAS ST E , DIXON AVE , 03/03/1953 ,1953 ,43.669951,-79.311169,4-11-2015,8523,823
164, KINGSTON RD ,, BRIMLEY RD , BRIMLEY RD S , 05/11/1964 ,1964 ,43.718239,-79.240372,6-28-2010,21729,790
165, CHURCH ST ,, PARK RD ,, 08/08/1966 ,1966 ,43.672219,-79.384788,3-28-2011,10851,1564
166, UNIVERSITY AVE ,, ARMOURY ST ,, 09/17/1965 ,1965 ,43.653099,-79.387585,7-26-2012,24140,4665
167, BAYVIEW AVE ,, NESBITT DR ,, 12/17/1959 ,1959 ,43.694104,-79.366284,5-19-2016,18084,52
168, QUEEN ST E ,, COXWELL AVE ,, 10/15/1948 ,1948 ,43.666345,-79.316558,5-7-2016,9821,2920
169, BAYVIEW AVE ,, MOORE AVE ,, 03/15/1960 ,1960 ,43.6967298,-79.371732,1-4-2012,19640,749
170, BAYVIEW AVE ,, MCRAE DR , MERTON ST , 07/27/1962 ,1962 ,43.70096,-79.373324,12-14-2010,20257,982
171, BAYVIEW AVE ,, MILLWOOD RD ,, 03/21/1960 ,1960 ,43.7042575,-79.374587,12-7-2010,18168,2599
172, BAYVIEW AVE ,, MANOR RD E , FLEMING CRES , 09/26/1958 ,1958 ,43.7069178,-79.375617,6-14-2016,13751,2011
173, AVENUE RD ,, EDMUND AVE ,, 08/16/1965 ,1965 ,43.6825716,-79.39976,1-22-2014,21764,702
174, QUEEN ST E ,, RIVER ST ,, 04/11/1954 ,1954 ,43.6574,-79.35654,5-22-2014,8869,1047
175, RIVER ST ,, SHUTER ST ,, 07/01/1957 ,1957 ,43.659502,-79.357445,6-16-2008,6776,718
176, GERRARD ST E ,, RIVER ST ,, 06/15/1954 ,1954 ,43.6636874,-79.35923,8-3-2016,12274,1068
177, BAYVIEW AVE ,, RIVER ST ,, 09/30/1959 ,1959 ,43.6658819,-79.357365,1-19-2011,11198,103
178, DANFORTH AVE ,, SIBLEY AVE ,, 04/09/1964 ,1964 ,43.6902727,-79.292675,1-9-2014,11764,1530
179, BAYVIEW AVE ,, BROADWAY AVE ,, 05/10/1961 ,1961 ,43.7139,-79.377589,6-19-2012,20387,531
180, DUNDAS ST W ,, OSSINGTON AVE ,, 04/09/1929 ,1929 ,43.6493419,-79.42078,4-11-2015,11860,7315
181, DUNDAS ST W ,, LANSDOWNE AVE ,, 10/14/1948 ,1948 ,43.6501405,-79.439714,4-11-2015,13572,2756
182, DUNDAS ST W ,, DOVERCOURT RD ,, 05/16/1955 ,1955 ,43.6494457,-79.424738,3-20-2012,14775,3301
183, DUNDAS ST W ,, BROCK AVE ,, 12/17/1952 ,1952 ,43.6498834,-79.435598,4-8-2015,10205,2094
184, YORKLAND RD ,, HERONS HILL WAY , PRIVATE ACCESS , 06/25/1981 ,1981 ,43.7744125,-79.337132,7-16-2012,9900,840
185, JANE ST ,, DUNDAS ST W ,, 01/31/1958 ,1958 ,43.665693,-79.491175,5-7-2016,23158,1243
186, DUNDAS ST W ,, RUNNYMEDE RD ,, 10/22/1948 ,1948 ,43.665584,-79.482104,5-7-2016,18021,1280
187, DUNDAS ST W ,, PACIFIC AVE ,, 09/29/1961 ,1961 ,43.6654376,-79.468576,5-10-2016,9675,2789
188, DUNDAS ST W ,, KEELE ST ,, 04/07/1928 ,1928 ,43.6653881,-79.464561,5-7-2016,19464,4643
189, BAYVIEW AVE , 265m SOUTH OF , POST RD , PRIVATE ACCESS , 01/13/1978 ,1978 ,43.7340769,-79.381419,5-10-2011,27993,564
190, DUFFERIN ST ,, DUNDAS ST W ,, 11/17/1948 ,1948 ,43.6496233,-79.431438,4-11-2015,14442,5244
191, EGLINTON AVE E ,, BELLAMY RD N , PRIVATE ACCESS , 05/18/1965 ,1965 ,43.740245,-79.232044,3-28-2012,15975,1508
192, EGLINTON AVE E ,, MCCOWAN RD ,, 10/28/1966 ,1966 ,43.7388424,-79.238405,3-1-2012,18352,987
193, BAY ST ,, GROSVENOR ST ,, 11/21/1966 ,1966 ,43.6625165,-79.38637,7-28-2010,11998,6448
194, ST CLAIR AVE W ,, EARLSCOURT AVE ,, 11/17/1966 ,1966 ,43.676982,-79.447423,8-9-2010,7138,1178
195, DIXON RD ,, CITY VIEW DR , KELFIELD ST , 12/12/1966 ,1966 ,43.6902252,-79.577032328,8-5-2010,21256,765
196, DUNDAS ST W ,, BATHURST ST ,, 08/27/1953 ,1953 ,43.652296,-79.406015,4-11-2015,15414,10194
197, GERRARD ST E ,, SACKVILLE ST ,, 10/07/1961 ,1961 ,43.662597,-79.364003,7-22-2009,9592,2707
198, SIMCOE ST ,, ADELAIDE ST W ,, 05/13/1960 ,1960 ,43.6486354,-79.386558,8-31-2015,7279,6248
199, KING ST W ,, SIMCOE ST ,, 05/13/1960 ,1960 ,43.647371,-79.38605,3-30-2009,7847,9542
200, BAYVIEW AVE ,, BLYTHWOOD RD , WELLNESS WAY , 01/31/1958 ,1958 ,43.7209801,-79.378926,3-23-2011,24828,765
201, KING ST W ,, BATHURST ST ,, 06/15/1928 ,1928 ,43.643904,-79.40267,4-11-2015,15742,9020
202, VICTORIA PARK AVE ,, CRAIGTON DR , JONESVILLE CRES , 09/08/1984 ,1984 ,43.726712,-79.303485,1-26-2011,23584,1515
203, LAKE SHORE BLVD E ,, LOWER SHERBOURNE ST ,, 02/26/1953 ,1953 ,43.646303,-79.366295,8-25-2012,23160,1893
204, HARBOUR ST ,, YORK ST ,, 01/01/1962 ,1962 ,43.641006,-79.380705,4-21-2009,13737,2168
205, LAKE SHORE BLVD W ,, YORK ST ,, 01/01/1958 ,1958 ,43.6416093,-79.380953,8-21-2012,24814,7285
206, LAKE SHORE BLVD E ,, LESLIE ST ,, 12/14/1955 ,1955 ,43.659109,-79.328373,5-27-2013,27371,764
207, LAKE SHORE BLVD E ,, CARLAW AVE ,, 06/20/1966 ,1966 ,43.655081,-79.337519,10-15-2012,31363,624
208, LAKE SHORE BLVD E ,, DON ROADWAY , DON VALLEY PARKWAY N , 11/22/1963 ,1963 ,43.6510701,-79.346973,5-27-2013,10974,41
209, LAKE SHORE BLVD E ,, PARLIAMENT ST ,, 10/24/1950 ,1950 ,43.6477572,-79.361271,8-16-2012,15771,601
210, LAKE SHORE BLVD E ,, LOWER JARVIS ST ,, 05/05/1950 ,1950 ,43.645501,-79.369794,8-25-2012,22735,1895
211, YONGE ST ,, LAKE SHORE BLVD W ,, 03/15/1932 ,1932 ,43.644197,-79.3758602,9-8-2012,10520,2020
212, LAKE SHORE BLVD W ,, BAY ST ,, 03/14/1932 ,1932 ,43.64317,-79.37791,8-22-2012,17008,13149
